id,name,role,party_id,party,area_id,area,term,image,source,honorific_prefix,gender
mr-john-adams,John Adams,Public Security and Human Safety,APNU-AFC,A Party For National Unity + Alliance For Change,3,Essequibo Islands/West Demerara,11,http://parliament.gov.gy/images/member_photos/105/john.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/mr-john-adams/,Mr.,male
ms-jennifer-wade,Jennifer Wade,"",APNU-AFC,A Party For National Unity + Alliance For Change,5,Mahaica/Berbice,11,http://parliament.gov.gy/images/member_photos/101/wade.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/ms-jennifer-wade/,Ms,female
ms-valarie-patterson,Valarie Patterson,"",unkown,Unknown,10,Upper Demerara/Upper Berbice,11,http://parliament.gov.gy/images/member_photos/3893/valarie.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/ms-valarie-patterson/,Ms,female
mr-jaipaul-sharma,Jaipaul Sharma,Minister within the Ministry of Finance,APNU-AFC,A Party For National Unity + Alliance For Change,4,Demerara/Mahaica,11,http://parliament.gov.gy/images/member_photos/103/jaipaul.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/mr-jaipaul-sharma/,Mr.,male
ms-rajcoomarie-bancroft,Rajcoomarie Bancroft,"",APNU-AFC,A Party For National Unity + Alliance For Change,8,Potaro/Siparuni,11,http://parliament.gov.gy/images/member_photos/3890/bancroft.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/ms-rajcoomarie-bancroft/,Ms.,female
bharrat-jagdeo,Bharrat Jagdeo,"",PPP-Civic,People Progressive Party/Civic,"","",11,"http://parliament.gov.gy/images/member_photos/4031/mr._bharrat_jagdeo,_m.p..jpg",http://parliament.gov.gy/about-parliament/parliamentarian/bharrat-jagdeo/,"",
bishop-juan-a-edghill,Juan A. Edghill,"",PPP-Civic,People Progressive Party/Civic,"","",11,"http://parliament.gov.gy/images/member_photos/127/bishop_juan_a._edghill,_m.s.,_j.p.,_m.p..jpg",http://parliament.gov.gy/about-parliament/parliamentarian/bishop-juan-a-edghill/,Bishop,
alister-s-charlie,Alister S. Charlie,"",PPP-Civic,People Progressive Party/Civic,9,Upper Takutu/Upper Essequibo,11,http://parliament.gov.gy/images/member_photos/4025/mr._alister_s._charlie_m.p..jpg,http://parliament.gov.gy/about-parliament/parliamentarian/alister-s-charlie/,"",
charles-s-ramson,Charles S. Ramson,"",PPP-Civic,People Progressive Party/Civic,"","",11,http://parliament.gov.gy/images/member_photos/4032/charles-ramson.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/charles-s-ramson/,"",
collin-d-croal,Collin D. Croal,"",PPP-Civic,People Progressive Party/Civic,1,Barima/Waini,11,"http://parliament.gov.gy/images/member_photos/4022/mr._collin_d._croal,_m.p..jpg",http://parliament.gov.gy/about-parliament/parliamentarian/collin-d-croal/,"",
bheri-ramsarran,Bheri S. Ramsarran,"",PPP-Civic,People Progressive Party/Civic,"","",11,http://parliament.gov.gy/images/member_photos/126/bheri.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/bheri-ramsarran/,Dr.,
dr-jennifer-westford,Jennifer R.A. Westford,"",PPP-Civic,People Progressive Party/Civic,7,Cuyuni/Mazaruni,11,http://parliament.gov.gy/images/member_photos/88/dr._jennifer_westford.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/dr-jennifer-westford/,Dr.,
mohamed-irfaan-ali,Mohamed I. Alli,"",PPP-Civic,People Progressive Party/Civic,3,Essequibo Islands/West Demerara,11,"http://parliament.gov.gy/images/member_photos/148/mr._mohamed_irfaan_ali,_m.p..jpg",http://parliament.gov.gy/about-parliament/parliamentarian/mohamed-irfaan-ali/,"",
pauline-campbell-sukhai,Pauline Campbell-Sukhai,Minister of Amerindian Affairs,PPP-Civic,People Progressive Party/Civic,"","",11,"http://parliament.gov.gy/images/member_photos/151/ms._pauline_campbell-sukhai,_m.p..jpg",http://parliament.gov.gy/about-parliament/parliamentarian/pauline-campbell-sukhai/,"",
clement-rohee,Clement J. Rohee,Minister of Home Affairs,PPP-Civic,People Progressive Party/Civic,"","",11,http://parliament.gov.gy/images/member_photos/232/rohee11.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/clement-rohee/,Mr,male
harry-gill,Harry Gill,"",PPP-Civic,People Progressive Party/Civic,"","",11,"http://parliament.gov.gy/images/member_photos/4029/mr._harry_gill,_m.p..jpg",http://parliament.gov.gy/about-parliament/parliamentarian/harry-gill/,"",
gillian-r-persaud,Gillian R. Persaud,"",PPP-Civic,People Progressive Party/Civic,4,Demerara/Mahaica,11,"http://parliament.gov.gy/images/member_photos/4023/ms._gillian_r._persaud,_m.p..jpg",http://parliament.gov.gy/about-parliament/parliamentarian/gillian-r-persaud/,"",
mr-komal-chand,Komal Chand,"",PPP-Civic,People Progressive Party/Civic,3,Essequibo Islands/West Demerara,11,http://parliament.gov.gy/images/member_photos/94/komal_chand.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/mr-komal-chand/,Mr.,male
gail-teixeira,Gail Teixeira,"",PPP-Civic,People Progressive Party/Civic,"","",11,"http://parliament.gov.gy/images/member_photos/138/ms._gail_teixeira,_m.p..jpg",http://parliament.gov.gy/about-parliament/parliamentarian/gail-teixeira/,Ms,female
priya-manickchand,Priya D. Manickchand,"",PPP-Civic,People Progressive Party/Civic,5,Mahaica/Berbice,11,http://parliament.gov.gy/images/member_photos/89/priya_manickchand.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/priya-manickchand/,Ms,female
adrian-v-anamayah,Adrian V. Anamayah,"",PPP-Civic,People Progressive Party/Civic,"","",11,http://parliament.gov.gy/images/member_photos/4026/adrian.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/adrian-v-anamayah/,"",
mr-cornel-damon,Cornel Damon,"",PPP-Civic,People Progressive Party/Civic,2,Pomeroon/Supernaam,11,http://parliament.gov.gy/images/member_photos/96/cornel_damon.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/mr-cornel-damon/,Mr.,male
odinga-lumumba,Odinga Lumumba,"",PPP-Civic,People Progressive Party/Civic,"","",11,http://parliament.gov.gy/images/member_photos/150/odinga_lumumba.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/odinga-lumumba/,Mr.,male
ms-africo-selman,Africo Selman,"",PPP-Civic,People Progressive Party/Civic,"","",11,http://parliament.gov.gy/images/member_photos/102/africo_selman.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/ms-africo-selman/,Ms,female
sheila-veersammy,Sheila Veersammy,"",PPP-Civic,People Progressive Party/Civic,"","",11,http://parliament.gov.gy/images/member_photos/5708/veersammy.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/sheila-veersammy/,"",
