id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
03d39f9d-24fb-4776-99b5-c150a4fdeb85,IVAN ŠUKER,IVAN ŠUKER,,,,HDZ,hdz,area/11th,11th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44494,
3882f00c-c759-4f95-8a7d-9901279604ba,IVICA MIŠIĆ,IVICA MIŠIĆ,,,,MOST,most,area/5th,5th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44469,
78f5af88-8b0c-488b-873e-6a3897ac3542,IVO JELUŠIĆ,IVO JELUŠIĆ,,,,SDP,sdp,area/6th,6th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44444,
d438bdb9-6ec4-4208-93e8-d18b69b9602b,JAROSLAV PECNIK,JAROSLAV PECNIK,,,,Labourists,labourists,area/4th,4th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44473,
b1dd20c2-1760-4c5b-81f4-0e54b1d3cc85,JASEN MESIĆ,JASEN MESIĆ,,,,HDZ,hdz,area/7th,7th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44467,
69e18eef-1b78-4b41-9183-f5cd2ad64c66,JASNA MATULIĆ,JASNA MATULIĆ,,,,MOST,most,area/6th,6th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44561,
463c0dc8-2f31-4a84-9a9f-8518684c8a63,JOSIP BILAVER,JOSIP BILAVER,,,,HDZ,hdz,area/9th,9th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44419,
e70a7a2b-ac7d-4ce0-a8ef-6be8aef0de77,JOSIP BORIĆ,JOSIP BORIĆ,,,,HDZ,hdz,area/8th,8th,Sabor,8,2016-01-22,,http://www.sabor.hr/lgs.axd?t=16&id=44547,
2cac6c43-eded-47eb-8cf3-2aee8447f7df,JOSIP KATALINIĆ,JOSIP KATALINIĆ,,,,MOST,most,area/7th,7th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44447,
7fc8cdd1-130c-4df2-a49a-71c6740c502b,JOSIP KRIŽANIĆ,JOSIP KRIŽANIĆ,,,,HDZ,hdz,area/3rd,3rd,Sabor,8,2016-01-22,,http://www.sabor.hr/lgs.axd?t=16&id=44454,
